close          : 6
cramp          : 6
door           : 6
drag           : 6
dreamed        : 6
easy           : 6
edge           : 6
every          : 6
exactly        : 6
faint          : 6
feed           : 6
fell           : 6
finally        : 6
fins           : 6
gear           : 6
got            : 6
gulf           : 6
harbour        : 6
havana         : 6
higher         : 6
kind           : 6
lash           : 6
late           : 6
later          : 6
length         : 6
life           : 6
lose           : 6
love           : 6
makes          : 6
marlin         : 6
ones           : 6
picked         : 6
pounds         : 6
pushed         : 6
quite          : 6
really         : 6
school         : 6
sheet          : 6
short          : 6
sides          : 6
sight          : 6
slant          : 6
slid           : 6
spoke          : 6
spur           : 6
stayed         : 6
strips         : 6
table          : 6
ten            : 6
thank          : 6
wire           : 6
woke           : 6
afraid         : 5
africa         : 5
afternoon      : 5
anyone         : 5
beaches        : 5
beer           : 5
belly          : 5
best           : 5
bitt           : 5
black          : 5
bonito         : 5
borrow         : 5
bottle         : 5
braced         : 5
brothers       : 5
buy            : 5
chewed         : 5
coiled         : 5
confidence     : 5
covered        : 5
darkness       : 5
death          : 5
delicate       : 5
die            : 5
difference     : 5
difficult      : 5
dip            : 5
drink          : 5
driving        : 5
effort         : 5
either         : 5
evening        : 5
find           : 5
fishing        : 5
flesh          : 5
forever        : 5
forty          : 5
four           : 5
friend         : 5
full           : 5
galanos        : 5
goes           : 5
happy          : 5
hear           : 5
hung           : 5
hungry         : 5
instead        : 5
jerk           : 5
kills          : 5
knees          : 5
lashed         : 5
learn          : 5
liked          : 5
longer         : 5
loose          : 5
lost           : 5
low            : 5
making         : 5
matter         : 5
meant          : 5
necessary      : 5
neck           : 5
net            : 5
noise          : 5
nose           : 5
pay            : 5
piece          : 5
projecting     : 5
rolled         : 5
sack           : 5
sacks          : 5
second         : 5
sharp          : 5
shivering      : 5
spots          : 5
steer          : 5
stick          : 5
stories        : 5
sudden         : 5
suffering      : 5
sweet          : 5
third          : 5
thumb          : 5
tomorrow       : 5
top            : 5
trade          : 5
trail          : 5
turns          : 5
waited         : 5
wall           : 5
washed         : 5
yourself       : 5
added          : 4
age            : 4
beach          : 4
beaten         : 4
besides        : 4
blowing        : 4
box            : 4
broke          : 4
broken         : 4
built          : 4
butt           : 4
carry          : 4
cast           : 4
catch          : 4
chair          : 4
chance         : 4
clubbed        : 4
coast          : 4
colour         : 4
comfortable    : 4
commenced      : 4
confident      : 4
daylight       : 4
dentuso        : 4
didn           : 4
drank          : 4
dry            : 4
easily         : 4
eastward       : 4
eaten          : 4
eighty-five    : 4
excellent      : 4
female         : 4
filaments      : 4
flat           : 4
food           : 4
free           : 4
furled         : 4
further        : 4
gained         : 4
gills          : 4
greatest       : 4
gunwale        : 4
hail           : 4
handle         : 4
happen         : 4
headed         : 4
hills          : 4
hot            : 4
house          : 4
hurricane      : 4
ice            : 4
itself         : 4
jerked         : 4
jumping        : 4
laid           : 4
lashing        : 4
lavender       : 4
leave          : 4
live           : 4
lower          : 4
lurch          : 4
means          : 4
mile           : 4
mother         : 4
move           : 4
newspaper      : 4
noon           : 4
north          : 4
older          : 4
opened         : 4
order          : 4
own            : 4
phosphorescence: 4
planking       : 4
plenty         : 4
pressure       : 4
quick          : 4
quickly        : 4
ran            : 4
raw            : 4
red            : 4
remembered     : 4
resting        : 4
rice           : 4
righted        : 4
risen          : 4
rises          : 4
room           : 4
sad            : 4
santiago       : 4
sat            : 4
september      : 4
shadow         : 4
shape          : 4
shirt          : 4
shore          : 4
showing        : 4
size           : 4
sleeping       : 4
slipped        : 4
slow           : 4
smelled        : 4
solid          : 4
spring         : 4
stem           : 4
stepped        : 4
stream         : 4
struck         : 4
stupid         : 4
suddenly       : 4
sweat          : 4
swim           : 4
swinging       : 4
sword          : 4
taking         : 4
taut           : 4
tension        : 4
tied           : 4
touch          : 4
trying         : 4
turtle         : 4
twice          : 4
walked         : 4
wanted         : 4
wild           : 4
yankees        : 4
years          : 4
yesterday      : 4
yet            : 4
young          : 4
able           : 3
airplane       : 3
albacore       : 3
among          : 3
anymore        : 3
ask            : 3
astern         : 3
attention      : 3
backbone       : 3
bell           : 3
bettors        : 3
beyond         : 3
blessed        : 3
bought         : 3
bright         : 3
brings         : 3
brother        : 3
butchered      : 3
cans           : 3
carcass        : 3
careful        : 3
changed        : 3
chest          : 3
chewing        : 3
choice         : 3
chop           : 3
clearly        : 3
clicking       : 3
corner         : 3
cramps         : 3
cruel          : 3
crying         : 3
dangerous      : 3
decided        : 3
depth          : 3
different      : 3
doing          : 3
dorsal         : 3
dried          : 3
drifted        : 3
eight          : 3
endure         : 3
ernest         : 3
everyone       : 3
famous         : 3
fathers        : 3
fillets        : 3
fine           : 3
finger         : 3
fished         : 3
five           : 3
floated        : 3
fly            : 3
force          : 3
forty-fathom   : 3
friends        : 3
gaining        : 3
gentle         : 3
glare          : 3
gold           : 3
golden         : 3
gripped        : 3
happened       : 3
harder         : 3
hardly         : 3
hasn           : 3
heads          : 3
heel           : 3
hoped          : 3
horses         : 3
hunger         : 3
increased      : 3
intelligent    : 3
islands        : 3
jumps          : 3
keeps          : 3
killing        : 3
leagues        : 3
leaning        : 3
less           : 3
lived          : 3
loosen         : 3
loss           : 3
manager        : 3
market         : 3
marys          : 3
match          : 3
money          : 3
months         : 3
mountains      : 3
movement       : 3
needed         : 3
neither        : 3
newspapers     : 3
noble          : 3
noticed        : 3
outside        : 3
overboard      : 3
paper          : 3
pass           : 3
patched        : 3
patches        : 3
pectoral       : 3
pedrico        : 3
pick           : 3
pieces         : 3
plankton       : 3
play           : 3
poison         : 3
prayers        : 3
prepare        : 3
pride          : 3
prisms         : 3
punishment     : 3
putting        : 3
question       : 3
quiet          : 3
quietly        : 3
raised         : 3
rather         : 3
resolution     : 3
rigged         : 3
rise           : 3
rowing         : 3
rubbed         : 3
rudder         : 3
ruined         : 3
run            : 3
rush           : 3
sailing        : 3
sardine        : 3
schools        : 3
sell           : 3
sent           : 3
sets           : 3
shade          : 3
shaft          : 3
shaking        : 3
sheath         : 3
shifted        : 3
ship           : 3
simple         : 3
sit            : 3
sitting        : 3
six            : 3
skin           : 3
skinned        : 3
slanting       : 3
slip           : 3
smoothly       : 3
softly         : 3
someone        : 3
sort           : 3
sound          : 3
spat           : 3
speak          : 3
spear          : 3
steal          : 3
steered        : 3
stiff          : 3
stood          : 3
stopped        : 3
stuff          : 3
sunset         : 3
surely         : 3
taste          : 3
teeth          : 3
themselves     : 3
thinking       : 3
thousand       : 3
throw          : 3
thwart         : 3
tiny           : 3
tiring         : 3
tolls          : 3
tonight        : 3
towing         : 3
uncramp        : 3
understand     : 3
use            : 3
usually        : 3
virgin         : 3
walls          : 3
war            : 3
warm           : 3
watch          : 3
wet            : 3
whole          : 3
whom           : 3
wife           : 3
wiped          : 3
wished         : 3
woman          : 3
women          : 3
wonderful      : 3
worthy         : 3
wrapped        : 3
wrong          : 3
year           : 3
afterwards     : 2
agua           : 2
aid            : 2
alarm          : 2
american       : 2
anchored       : 2
armed          : 2
army           : 2
asking         : 2
attained       : 2
ay             : 2
backed         : 2
backing        : 2
backs          : 2
baited         : 2
banging        : 2
bare           : 2
basket         : 2
bat            : 2
beautifully    : 2
become         : 2
begin          : 2
bigger         : 2
biggest        : 2
bleeding       : 2
blotches       : 2
blow           : 2
board          : 2
bones          : 2
books          : 2
bottles        : 2
bracing        : 2
bringing       : 2
brisa          : 2
brooklyn       : 2
bubble         : 2
carrying       : 2
cat            : 2
change         : 2
checked        : 2
cheek          : 2
cheerful       : 2
chew           : 2
chin           : 2
chopped        : 2
christ         : 2
cienfuegos     : 2
circled        : 2
circles        : 2
cirrus         : 2
civil          : 2
claws          : 2
cleaned        : 2
cleared        : 2
cleveland      : 2
climb          : 2
clock          : 2
closer         : 2
closing        : 2
cloud          : 2
clubbing       : 2
cobre          : 2
coil           : 2
color          : 2
comfortably    : 2
company        : 2
complete       : 2
completely     : 2
considered     : 2
container      : 2
continued      : 2
convince       : 2
coral          : 2
cramping       : 2
crazy          : 2
crushed        : 2
cry            : 2
cumulus        : 2
cuts           : 2
date           : 2
decides        : 2
deepest        : 2
defeat         : 2
delicately     : 2
depths         : 2
desperate      : 2
desperately    : 2
destroyed      : 2
detroit        : 2
devise         : 2
died           : 2
dies           : 2
dignity        : 2
dipping        : 2
disturb        : 2
docks          : 2
dollars        : 2
double         : 2
dozen          : 2
draw           : 2
dreaming       : 2
dressed        : 2
drift          : 2
during         : 2
eighty-four    : 2
eighty-seven   : 2
el             : 2
else           : 2
empty          : 2
ends           : 2
enemy          : 2
especially     : 2
etching        : 2
factory        : 2
faith          : 2
fall           : 2
farewell       : 2
fast-moving    : 2
fault          : 2
fearless       : 2
fed            : 2
feeding        : 2
few            : 2
fiction        : 2
fighting       : 2
filled         : 2
finding        : 2
firm           : 2
fit            : 2
flattened      : 2
flight         : 2
floor          : 2
flow           : 2
followed       : 2
forced         : 2
forearms       : 2
forefinger     : 2
forehead       : 2
form           : 2
fought         : 2
frequently     : 2
friendly       : 2
galano         : 2
game           : 2
gets           : 2
given          : 2
glass          : 2
gray           : 2
greater        : 2
guano          : 2
gut            : 2
gutted         : 2
handsome       : 2
hang           : 2
happily        : 2
hat            : 2
haven          : 2
hawks          : 2
height         : 2
hemingway's    : 2
hide           : 2
hissing        : 2
hitting        : 2
hoisted        : 2
hunting        : 2
imagine        : 2
inch           : 2
increase       : 2
indians        : 2
iridescent     : 2
island         : 2
j              : 2
jammed         : 2
jaw            : 2
jerking        : 2
jesus          : 2
joined         : 2
july           : 2
kicked         : 2
kilimanjaro    : 2
knelt          : 2
knowing        : 2
known          : 2
lamps          : 2
leader         : 2
league         : 2
least          : 2
level          : 2
lighter        : 2
lightness      : 2
livers         : 2
lives          : 2
looks          : 2
loop           : 2
lovely         : 2
mala           : 2
man-of-war     : 2
manolin        : 2
mar            : 2
mary           : 2
matches        : 2
mean           : 2
measuring      : 2
mechanically   : 2
middle         : 2
milk           : 2
minute         : 2
mirrors        : 2
month          : 2
motionless     : 2
movements      : 2
mutilated      : 2
myself         : 2
names          : 2
nonsense       : 2
noose          : 2
normal         : 2
north-east     : 2
north-west     : 2
noted          : 2
nourishment    : 2
oak            : 2
opening        : 2
pack           : 2
paid           : 2
painful        : 2
pale           : 2
palm           : 2
palms          : 2
panic          : 2
papa           : 2
papers         : 2
park           : 2
parts          : 2
past           : 2
patch          : 2
pencil         : 2
phosphorescent : 2
picture        : 2
pig            : 2
pillow         : 2
pity           : 2
pivoted        : 2
placed         : 2
plan           : 2
planks         : 2
plans          : 2
played         : 2
playing        : 2
pleasant       : 2
please         : 2
pocket         : 2
poor           : 2
porpoises      : 2
portuguese     : 2
possible       : 2
pot            : 2
poured         : 2
pray           : 2
probably       : 2
promise        : 2
promised       : 2
proper         : 2
proprietor     : 2
prove          : 2
punched        : 2
radio          : 2
raise          : 2
raising        : 2
rapier         : 2
reach          : 2
read           : 2
referees       : 2
reflection     : 2
replaced       : 2
return         : 2
rig            : 2
rock           : 2
rocks          : 2
rough          : 2
row            : 2
rum            : 2
safety         : 2
salted         : 2
sand           : 2
sank           : 2
sargasso       : 2
save           : 2
scars          : 2
scythe         : 2
seemed         : 2
sees           : 2
served         : 2
shank          : 2
shaped         : 2
sharply        : 2
